player=0,SET:BDEG
player=1,SET:BFGH
player=1,MOV:C,N
player=0,MOV:C,S
player=1,MOV:C,S
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,S
player=1,MOV:C,S
player=0,MOV:C,N
player=1,MOV:C,N
winner=2
